t,x,y,z,r
58777.1637731481,-6605655.23048834,-96.7548367912515,-1585768.44633476,6793330.74410707
58777.1643518519,-6505720.55496746,-120.498258964051,-1955601.39326708,6793289.09757226
58777.1649305556,-6385095.25003417,-143.969541485296,-2319196.99846456,6793240.47052827
58777.1655092593,-6244167.39980848,-167.090936989894,-2675397.22420092,6793186.06045885
58777.166087963,-6083390.09727027,-189.785560384577,-3023068.38963248,6793127.23272423
58777.1666666667,-5903279.85650008,-211.977656603427,-3361104.84706171,6793065.50108534
58777.1672453704,-5704414.81329214,-233.592864009013,-3688432.54384208,6793002.50604589
58777.1678240741,-5487432.72415928,-254.558472412732,-4004012.45731664,6792939.99129398
58777.1684027778,-5253028.77453992,-274.803674748796,-4306843.89131704,6792879.77855021
58777.1689814815,-5001953.20764848,-294.259811502321,-4595967.6239336,6792823.74115063
58777.1695601852,-4735008.78588248,-312.860607061477,-4870468.89747795,6792773.77671052
58777.1701388889,-4453048.09701109,-330.542397235083,-5129480.24277118,6792731.77922788
58777.1707175926,-4156970.71752855,-347.244347248902,-5372184.13108026,6792699.61099407
58777.1712962963,-3847720.24556901,-362.908659604685,-5597815.44816985,6792679.07468279
58777.171875,-3526281.21566104,-377.480771254305,-5805663.7860168,6792671.88598732
58777.1724537037,-3193675.90736442,-390.909539605933,-5995075.54873127,6792679.6471706
58777.1730324074,-2850961.05949827,-403.147416939012,-6165455.87012804,6792703.82188122
58777.1736111111,-2499224.50125785,-414.150612858985,-6316270.34118216,6792745.71157391
58777.1741898148,-2139581.71104847,-423.879244470594,-6447046.54627698,6792806.43385256
58777.1747685185,-1773172.31336251,-432.297473989807,-6557375.40770698,6792886.90303001
58777.1753472222,-1401156.52351068,-439.373633548833,-6646912.3383312,6792987.81317067
58777.1759259259,-1024711.54951398,-445.080336976414,-6715378.20259157,6793109.62385017
58777.1765046296,-645027.959988659,-449.394578356936,-6762560.08631974,6793252.54883163
58777.1770833333,-263306.026431243,-452.297817187624,-6788311.87586931,6793416.54782015
58777.177662037,119247.952048912,-453.77604996375,-6792554.64714033,6793601.3214177
58777.1782407407,501425.33378327,-453.819868028649,-6775276.86502703,6793806.30935874
58777.1788194444,882018.82181018,-452.424501529329,-6736534.39373701,6794030.6920647
58777.1793981481,1259826.14587705,-449.589849320972,-6676450.31832007,6794273.39551204
58777.1799768519,1633653.73170229,-445.320494665871,-6595214.57762872,6794533.09936611
58777.1805555556,2002320.34992432,-439.625706575778,-6493083.40883143,6794808.24829029
58777.1811342593,2364660.73697712,-432.519426652477,-6370378.60353333,6795097.06629931
58777.181712963,2719529.17986163,-424.02024129097,-6227486.57554766,6795397.57398626
58777.1822916667,3065803.05644102,-414.151339124069,-6064857.24042046,6795707.60841613
58777.1828703704,3402386.32249089,-402.940453607494,-5883002.70695723,6796024.84544459
58777.1834490741,3728212.93630016,-390.419790671513,-5682495.78124414,6796346.82419025
58777.1840277778,4042250.21116329,-376.625941399421,-5463968.28400695,6796670.9733612
58777.1846064815,4343502.08565136,-361.599779735095,-5228109.18261386,6796994.63911393
58777.1851851852,4631012.30111848,-345.386345271578,-4975662.53960405,6797315.11410361
58777.1857638889,4903867.47551308,-328.034711230088,-4707425.28031096,6797629.66737028
58777.1863425926,5161200.06224152,-309.597837803595,-4424244.78294097,6797935.57469568
58777.1869212963,5402191.18259292,-290.132411110535,-4127016.29535565,6798230.14906031
58777.1875,5626073.3200985,-269.698668081576,-3816680.1837752,6798510.77082943
58777.1880787037,5832132.86517919,-248.360207684397,-3494219.01965743,6798774.91730103
58777.1886574074,6019712.49854667,-226.183788977152,-3160654.51209138,6799020.19125709
58777.1892361111,6188213.40207331,-203.239116569083,-2817044.29415793,6799244.34817235
58777.1898148148,6337097.28624244,-179.598614155283,-2464478.57282929,6799445.32175174
58777.1903935185,6465888.22383431,-155.337186880151,-2104076.65308315,6799621.2474886
58777.1909722222,6574174.28019381,-130.531973369235,-1736983.34797196,6799770.4839599
58777.1915509259,6661608.93125848,-105.262088350096,-1364365.28739182,6799891.63160286
58777.1921296296,6727912.26149124,-79.6083568581489,-987407.139216487,6799983.54874755
58777.1927083333,6772871.93494972,-53.6530410917347,-607307.757280866,6800045.36471351
58777.193287037,6796343.93391834,-27.4795610403844,-225276.271396679,6800076.48981378
58777.1938657407,6798253.0608121,-1.17221006055308,157471.864854091,6800076.62214648
58777.1944444444,6778593.20041419,25.184133387246,539718.852387783,6800045.75109304
58777.1950231481,6737427.34090934,51.504296597602,920248.534531927,6799984.15748107
58777.1956018519,6674887.35360032,77.703104816708,1297850.37807008,6799892.41040974
58777.1961805556,6591173.53262214,103.695673512749,1671323.43097687,6799771.36077557
58777.1967592593,6486553.8973732,129.397699464181,2039480.24063523,6799622.1315756
58777.197337963,6361363.26174376,154.725749429237,2401150.71672022,6799446.10510366
58777.1979166667,6216002.07551568,179.597545190556,2755185.92347502,6799244.90719266
58777.1984953704,6050935.04451525,203.932243809944,3100461.78678436,6799020.38869139
